destination,baseline_stage,baseline_percentile,adjusted_probability,bootstrap_lower,bootstrap_upper,eligible_contestants,events,bootstrap_replicates
APMO,IWYMIC,0.5081632653061224,0.06294766715509172,0.022538006463381867,0.0805718030684188,692,89,80
APMO,IWYMIC,0.5220408163265305,0.06697015567336848,0.023848518605671134,0.08743660954085167,692,89,80
APMO,IWYMIC,0.5359183673469388,0.07119570470050497,0.024133250950581026,0.09443487316480241,692,89,80
APMO,IWYMIC,0.5497959183673469,0.07563009157260658,0.02453671378427061,0.10088220951239593,692,89,80
APMO,IWYMIC,0.563673469387755,0.08027898095323088,0.025384981565231262,0.1087734625742226,692,89,80
APMO,IWYMIC,0.5775510204081632,0.08514791354461035,0.027101679473858265,0.11599601726252028,692,89,80
APMO,IWYMIC,0.5914285714285714,0.09024229467273963,0.029280049086023066,0.12315442772493783,692,89,80
APMO,IWYMIC,0.6053061224489795,0.09556738229246585,0.03176201754763723,0.13020316085924635,692,89,80
APMO,IWYMIC,0.6191836734693876,0.10112827389825736,0.03447633950296072,0.13709111576100932,692,89,80
APMO,IWYMIC,0.6330612244897958,0.10692989178468032,0.03744497663437348,0.1437678586265834,692,89,80
APMO,IWYMIC,0.6469387755102041,0.11297696608175772,0.04069177446242249,0.15018418905746947,692,89,80
APMO,IWYMIC,0.6608163265306122,0.11927401499750558,0.044242566798335096,0.15629267495385257,692,89,80
APMO,IWYMIC,0.6746938775510203,0.12582532173525643,0.04812527233784377,0.1633973333679722,692,89,80
APMO,IWYMIC,0.6885714285714285,0.13263490761796035,0.05236997948889211,0.17359043604580515,692,89,80
APMO,IWYMIC,0.7024489795918367,0.1397065010453426,0.05700901476939373,0.18410041446517808,692,89,80
APMO,IWYMIC,0.7163265306122448,0.14704350203113414,0.06207698926320168,0.19730994718773423,692,89,80
APMO,IWYMIC,0.7302040816326529,0.15464894221384004,0.06761081667528193,0.21115859952287316,692,89,80
APMO,IWYMIC,0.7440816326530612,0.16252544040169709,0.07364969547292585,0.22550837742020124,692,89,80
APMO,IWYMIC,0.7579591836734694,0.17067515389550866,0.0802350464320938,0.23585621977401705,692,89,80
APMO,IWYMIC,0.7718367346938775,0.17909972602586854,0.08741039562469358,0.2499526536369929,692,89,80
APMO,IWYMIC,0.7857142857142856,0.1878002305370677,0.09522119149240225,0.2645633534560059,692,89,80
APMO,IWYMIC,0.7995918367346938,0.19677711364134304,0.10371454318422296,0.27947518906089913,692,89,80
APMO,IWYMIC,0.813469387755102,0.20603013474642384,0.11293886585062955,0.29465052357666865,692,89,80
APMO,IWYMIC,0.8273469387755101,0.21555830701892048,0.12294341720050883,0.3100496060551814,692,89,80
APMO,IWYMIC,0.8412244897959182,0.2253598390786505,0.13397413800581928,0.32563099793387673,692,89,80
APMO,IWYMIC,0.8551020408163263,0.23543207921783013,0.1472582955989806,0.34135203473427955,692,89,80
APMO,IWYMIC,0.8689795918367347,0.2457714635984472,0.15796793937237932,0.35716931058415097,692,89,80
APMO,IWYMIC,0.8828571428571428,0.2563734698966004,0.16960830799998727,0.3730391723728983,692,89,80
APMO,IWYMIC,0.8967346938775509,0.26723257783123217,0.17334244983982847,0.3889182102541982,692,89,80
APMO,IWYMIC,0.910612244897959,0.2783422379353085,0.1754255783094538,0.40476373176140507,692,89,80
APMO,IWYMIC,0.9244897959183673,0.2896948498009066,0.17888779557384296,0.4250116303203195,692,89,80
APMO,IWYMIC,0.9383673469387754,0.3012817508585742,0.1920691868999365,0.4459032464394503,692,89,80
APMO,IWYMIC,0.9522448979591835,0.3130932165404782,0.19294379909943274,0.4670887808930784,692,89,80
APMO,IWYMIC,0.9661224489795917,0.32511847243276293,0.19242149242599602,0.4884581957643424,692,89,80
APMO,IWYMIC,0.98,0.3373457187533501,0.19087546686243137,0.5070491519035241,692,89,80
IMO,EMIC,0.3,0.07760651872458074,0.02657896114168832,0.14042130208560638,1433,118,80
IMO,EMIC,0.31387755102040815,0.07236292546099367,0.027195209161720135,0.12564996564229594,1433,118,80
IMO,EMIC,0.3277551020408163,0.06771396596554188,0.027670245311712315,0.11284002761336794,1433,118,80
IMO,EMIC,0.3416326530612245,0.06359809317884486,0.02664257119040118,0.10174474845261669,1433,118,80
IMO,EMIC,0.35551020408163264,0.059960919985681996,0.0244631677994164,0.09175089465857644,1433,118,80
