destination,country_clean,outcome,eligible_contestants,events,event_rate,wilson_lower,wilson_upper
APMO,Malaysia,award,43,7,0.16279069767441862,0.08116524502857546,0.2997269533591824
APMO,Malaysia,medal,43,5,0.11627906976744186,0.050703529948620846,0.24479448890641395
APMO,Mexico,award,47,22,0.46808510638297873,0.33331462168462633,0.6076785807322921
APMO,Mexico,medal,47,17,0.3617021276595745,0.2396602228576844,0.5046436542822955
APMO,Mongolia,award,20,0,0.0,0.0,0.16113012549493322
APMO,Mongolia,medal,20,0,0.0,0.0,0.16113012549493322
APMO,Nepal,award,8,0,0.0,0.0,0.3244156195108769
APMO,Nepal,medal,8,0,0.0,0.0,0.3244156195108769
APMO,Netherlands,award,4,0,0.0,0.0,0.48990002040399916
APMO,Netherlands,medal,4,0,0.0,0.0,0.48990002040399916
APMO,People's Republic of China,award,144,0,0.0,0.0,0.025984567266588023
APMO,People's Republic of China,medal,144,0,0.0,0.0,0.025984567266588023
APMO,Peru,award,0,0,,,
APMO,Peru,medal,0,0,,,
APMO,Philippines,award,126,17,0.1349206349206349,0.08597303227118422,0.20547131222241413
APMO,Philippines,medal,126,11,0.0873015873015873,0.04944633324012888,0.14957770836133016
APMO,Republic of Korea,award,31,0,0.0,0.0,0.11025900073475385
APMO,Republic of Korea,medal,31,0,0.0,0.0,0.11025900073475385
APMO,Romania,award,47,0,0.0,6.938893903907228e-18,0.0755601711983887
APMO,Romania,medal,47,0,0.0,6.938893903907228e-18,0.0755601711983887
APMO,Russian Federation,award,14,1,0.07142857142857142,0.012721886112291636,0.3146926955395781
APMO,Russian Federation,medal,14,0,0.0,0.0,0.21531701192718142
APMO,Singapore,award,22,14,0.6363636363636364,0.4295134934371804,0.802670272273921
APMO,Singapore,medal,22,12,0.5454545454545454,0.34659473289041554,0.7307998556799515
APMO,South Africa,award,53,0,0.0,0.0,0.06758430445307662
APMO,South Africa,medal,53,0,0.0,0.0,0.06758430445307662
APMO,Sri Lanka,award,31,8,0.25806451612903225,0.1370154373686976,0.432464724277151
APMO,Sri Lanka,medal,31,5,0.16129032258064516,0.07092519905439934,0.3263470272497887
APMO,Taiwan,award,150,11,0.07333333333333333,0.04143838680502927,0.12653698526598406
APMO,Taiwan,medal,150,10,0.06666666666666667,0.03661146073480972,0.11836352652481316
APMO,Tajikistan,award,44,23,0.5227272727272727,0.379352201361717,0.6624524205572824
APMO,Tajikistan,medal,44,12,0.2727272727272727,0.16346223395491324,0.41849154685509304
APMO,Thailand,award,157,24,0.15286624203821655,0.10492810796811185,0.2173865171040088
APMO,Thailand,medal,157,20,0.12738853503184713,0.08399849173135454,0.1885777571992704
APMO,Trinidad and Tobago,award,0,0,,,
APMO,Trinidad and Tobago,medal,0,0,,,
APMO,Tunisia,award,2,0,0.0,0.0,0.6576280471103807
APMO,Tunisia,medal,2,0,0.0,0.0,0.6576280471103807
APMO,Uganda,award,1,0,0.0,0.0,0.7934567085261071
APMO,Uganda,medal,1,0,0.0,0.0,0.7934567085261071
APMO,Ukraine,award,5,0,0.0,0.0,0.43449149475208104
APMO,Ukraine,medal,5,0,0.0,0.0,0.43449149475208104
APMO,United Arab Emirates,award,4,0,0.0,0.0,0.48990002040399916
APMO,United Arab Emirates,medal,4,0,0.0,0.0,0.48990002040399916
APMO,United States of America,award,12,0,0.0,0.0,0.2425007574992425
APMO,United States of America,medal,12,0,0.0,0.0,0.2425007574992425
APMO,Uzbekistan,award,30,3,0.1,0.03459925995971615,0.25621441315266624
APMO,Uzbekistan,medal,30,3,0.1,0.03459925995971615,0.25621441315266624
APMO,Vietnam,award,90,0,0.0,0.0,0.04093706842168078
APMO,Vietnam,medal,90,0,0.0,0.0,0.04093706842168078
IMO,Australia,award,10,0,0.0,0.0,0.2775401687666166
IMO,Australia,medal,10,0,0.0,0.0,0.2775401687666166
IMO,Bangladesh,award,7,0,0.0,0.0,0.35433884297520657
IMO,Bangladesh,medal,7,0,0.0,0.0,0.35433884297520657
IMO,Bolivia,award,2,0,0.0,0.0,0.6576280471103807
IMO,Bolivia,medal,2,0,0.0,0.0,0.6576280471103807
IMO,Botswana,award,0,0,,,
IMO,Botswana,medal,0,0,,,
IMO,Bulgaria,award,258,10,0.03875968992248062,0.021187213857899984,0.0698663085770378
IMO,Bulgaria,medal,258,9,0.03488372093023256,0.018458828173851062,0.06495648856726266
IMO,Canada,award,30,0,0.0,0.0,0.113517091390478
IMO,Canada,medal,30,0,0.0,0.0,0.113517091390478
IMO,Cyprus,award,26,13,0.5,0.32060306315002074,0.6793969368499793
