combined_id,name_clean,name_last_first,country_clean,contest,year,official_name,official_name_last_first,official_country,official_country_code,official_person_id,score,medal,rank_start,rank_end,rank_average,percentile,total_participants,match_method,source_url
2946,Lazizbek Rajabboev,"Rajabboev, Lazizbek",Uzbekistan,IMO,2022,Lazizbek Rajabboev,"Rajabboev, Lazizbek",Uzbekistan,UZB,31550,27,Bronze,187,213,200,0.6604414261,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",Uzbekistan,IMO,2022,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",Uzbekistan,UZB,31548,22,Honourable Mention,286,302,294,0.5008488964,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",Uzbekistan,IMO,2023,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",Uzbekistan,UZB,31548,19,Bronze,279,296,287.5,0.534789644,618,same_country_exact,https://www.imo-official.org/results/individual/year/2023/
2950,Anvarbek Sadulloyev,"Sadulloyev, Anvarbek",Uzbekistan,IMO,2023,Anvarbek Sadulloev,"Sadulloev, Anvarbek",Uzbekistan,UZB,33398,18,Bronze,297,314,305.5,0.5056634304,618,reviewed_alias,https://www.imo-official.org/results/individual/year/2023/
2952,Abbos Sayliev,"Sayliev, Abbos",Uzbekistan,IMO,2019,Abbos Sayliev,"Sayliev, Abbos",Uzbekistan,UZB,29239,14,Honourable Mention,345,360,352.5,0.4323671498,621,same_country_exact,https://www.imo-official.org/results/individual/year/2019/
2954,Madina Suyunova,"Suyunova, Madina",Uzbekistan,IMO,2024,Madina Suyunova,"Suyunova, Madina",Uzbekistan,UZB,34104,17,Bronze,252,282,267,0.5615763547,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
2955,Jakhongir Turaev,"Turaev, Jakhongir",Uzbekistan,IMO,2019,Jakhongir Turaev,"Turaev, Jakhongir",Uzbekistan,UZB,29363,14,Honourable Mention,345,360,352.5,0.4323671498,621,same_country_exact,https://www.imo-official.org/results/individual/year/2019/
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",Uzbekistan,IMO,2024,Elbek Zohidjonov,"Zohidjonov, Elbek",Uzbekistan,UZB,34105,24,Silver,100,124,112,0.816091954,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",Uzbekistan,IMO,2025,Elbek Zohidjonov,"Zohidjonov, Elbek",Uzbekistan,UZB,34105,34,Silver,73,80,76.5,0.8785714286,630,same_country_exact,https://www.imo-official.org/results/individual/year/2025/
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",Uzbekistan,IMO,2026,Elbek Zohidjonov,"Zohidjonov, Elbek",Uzbekistan,UZB,34105,20,Bronze,227,246,236.5,0.6448948949,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
2980,Vu Quang Dao,"Dao, Vu Quang",Vietnam,IMO,2016,Vũ Quang Đào,"Đào, Vũ Quang",Vietnam,VNM,26580,27,Silver,63,67,65,0.8920265781,602,same_country_exact,https://www.imo-official.org/results/individual/year/2016/
2983,Vu Tung Lam Dinh,"Dinh, Vu Tung Lam",Vietnam,IMO,2020,Vu Tung Lam Dinh,"Dinh, Vu Tung Lam",Vietnam,VNM,30435,8,Honourable Mention,419,444,431.5,0.299512987,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
2983,Vu Tung Lam Dinh,"Dinh, Vu Tung Lam",Vietnam,IMO,2021,Vu Tung Lam Dinh,"Dinh, Vu Tung Lam",Vietnam,VNM,30435,21,Silver,105,142,123.5,0.8004846527,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
2991,Manh Hung Ha,"Ha, Manh Hung",Vietnam,IMO,2026,Manh Hung Ha,"Ha, Manh Hung",Vietnam,VNM,36162,20,Bronze,227,246,236.5,0.6448948949,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
3047,Le Nhat Nam Nguyen,"Nguyen, Le Nhat Nam",Vietnam,IMO,2026,Le Nhat Nam Nguyen,"Nguyen, Le Nhat Nam",Vietnam,VNM,36163,30,Gold,34,39,36.5,0.9451951952,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
3079,Dang Nguyen Pham,"Pham, Dang Nguyen",Vietnam,IMO,2026,Dang Nguyen Pham,"Pham, Dang Nguyen",Vietnam,VNM,36159,28,Silver,56,75,65.5,0.9016516517,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
3085,Nam Khánh Phạm,"Phạm, Nam Khánh",Vietnam,IMO,2017,Nam Khánh Phạm,"Phạm, Nam Khánh",Vietnam,VNM,27781,21,Silver,82,102,92,0.8504065041,615,same_country_exact,https://www.imo-official.org/results/individual/year/2017/
3088,Minh Duc Phan,"Phan, Minh Duc",Vietnam,IMO,2018,Minh Đức Phan,"Phan, Minh Đức",Vietnam,VNM,28625,29,Silver,61,86,73.5,0.8762626263,594,same_country_exact,https://www.imo-official.org/results/individual/year/2018/
3088,Minh Duc Phan,"Phan, Minh Duc",Vietnam,IMO,2019,Minh Duc Phan,"Phan, Minh Duc",Vietnam,VNM,29494,28,Silver,65,100,82.5,0.8671497585,621,same_country_exact,https://www.imo-official.org/results/individual/year/2019/
3106,Tuan Nghia Truong,"Truong, Tuan Nghia",Vietnam,IMO,2020,Tuan Nghia Truong,"Truong, Tuan Nghia",Vietnam,VNM,30432,32,Gold,34,42,38,0.9383116883,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
3106,Tuan Nghia Truong,"Truong, Tuan Nghia",Vietnam,IMO,2021,Tuan Nghia Truong,"Truong, Tuan Nghia",Vietnam,VNM,30432,21,Silver,105,142,123.5,0.8004846527,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
