year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2016,Bronze,19,65,83,74,0.7175572519,Indonesia,Vietnam,Indonesia;Indonesia;Islamic Republic of Iran;Kazakhstan;Malaysia;Malaysia;Malaysia;Philippines;Philippines;Sri Lanka;Sri Lanka;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Vietnam;Vietnam
2016,Bronze,27,84,110,97,0.6297709924,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Hong Kong;Hong Kong;Indonesia;Kazakhstan;Macau;Macau;Macau;Mongolia;Philippines;Philippines;Philippines;Philippines;Sri Lanka;Taiwan;Taiwan;Taiwan;Tajikistan;Thailand;Thailand;Uzbekistan;Uzbekistan;Vietnam;Vietnam;Vietnam
2016,Merit,24,111,134,122.5,0.5324427481,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Indonesia;Indonesia;Kazakhstan;Kazakhstan;Kazakhstan;Philippines;Philippines;Philippines;Sri Lanka;Sri Lanka;Tajikistan;Thailand;Uzbekistan;Vietnam;Vietnam
2016,Merit,20,135,154,144.5,0.4484732824,Bulgaria,Vietnam,Bulgaria;Cyprus;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Malaysia;Malaysia;Mongolia;Philippines;Sri Lanka;Taiwan;Tajikistan;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam
2016,Merit,23,155,177,166,0.3664122137,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Mongolia;Nepal;Philippines;Philippines;South Africa;South Africa;Sri Lanka;Taiwan;Tajikistan;Thailand;Uzbekistan;Vietnam
2016,Merit,19,178,196,187,0.286259542,Bulgaria,Tajikistan,Bulgaria;Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Lebanon;Lebanon;Mongolia;South Africa;South Africa;Taiwan;Tajikistan
2017,Gold,1,1,1,1,0.9966555184,Hong Kong,Hong Kong,Hong Kong
2017,Gold,3,2,4,3,0.9899665552,Bulgaria,Mongolia,Bulgaria;India;Mongolia
2017,Gold,2,5,6,5.5,0.9816053512,Hong Kong,Islamic Republic of Iran,Hong Kong;Islamic Republic of Iran
2017,Gold,6,7,12,9.5,0.9682274247,Bulgaria,Thailand,Bulgaria;Hong Kong;Hong Kong;Malaysia;Thailand;Thailand
2017,Gold,6,13,18,15.5,0.9481605351,Indonesia,Vietnam,Indonesia;Indonesia;Uzbekistan;Uzbekistan;Vietnam;Vietnam
2017,Silver,7,19,25,22,0.9264214047,Bulgaria,Thailand,Bulgaria;Hong Kong;Kazakhstan;Malaysia;Mexico;Philippines;Thailand
2017,Silver,16,26,41,33.5,0.8879598662,Bulgaria,Vietnam,Bulgaria;Bulgaria;Indonesia;Indonesia;Islamic Republic of Iran;Kazakhstan;Mongolia;Philippines;Taiwan;Taiwan;Thailand;Thailand;Thailand;Uzbekistan;Vietnam;Vietnam
2017,Silver,24,42,65,53.5,0.8210702341,Bulgaria,Thailand,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Mexico;Mongolia;Mongolia;Philippines;Philippines;Taiwan;Tajikistan;Tajikistan;Thailand;Uzbekistan;Vietnam;Vietnam;Vietnam;Vietnam;Vietnam;Thailand
2017,Bronze,21,66,86,76,0.745819398,Cyprus,Philippines,Cyprus;India;Indonesia;Kazakhstan;Malaysia;Malaysia;Mongolia;Romania;Romania;South Africa;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam;Philippines
2017,Bronze,31,87,117,102,0.6588628763,Indonesia,Vietnam,Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Kazakhstan;Republic of Korea;Malaysia;Malaysia;Mexico;Philippines;Philippines;Philippines;Philippines;Romania;Romania;Sri Lanka;Sri Lanka;Taiwan;Taiwan;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Vietnam;Vietnam
2017,Merit,29,118,146,132,0.5585284281,Bulgaria,Bulgaria,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Hong Kong;Hong Kong;India;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Republic of Korea;Malaysia;Malaysia;Mexico;Mongolia;Philippines;Philippines;Philippines;South Africa;Taiwan;Tajikistan;Tajikistan;Tajikistan;Tajikistan;Thailand;Bulgaria
2017,Merit,31,147,177,162,0.4581939799,Bulgaria,Vietnam,Bulgaria;India;India;India;Indonesia;Indonesia;Indonesia;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Republic of Korea;Republic of Korea;Mongolia;Philippines;Philippines;Philippines;Philippines;Romania;Romania;South Africa;South Africa;South Africa;Sri Lanka;Sri Lanka;Taiwan;Tajikistan;Tajikistan;Thailand;Thailand;Vietnam
2018,Gold,5,1,5,3,0.9904458599,People's Republic of China,Vietnam,People's Republic of China;Hong Kong;Hong Kong;Tajikistan;Vietnam
2018,Gold,8,6,13,9.5,0.9697452229,Bulgaria,Taiwan,Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Indonesia;Kazakhstan;Taiwan
2018,Gold,16,14,29,21.5,0.9315286624,People's Republic of China,Malaysia,People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Philippines;Romania;Taiwan;Taiwan;Tajikistan;Thailand;Uzbekistan;Vietnam;Vietnam;Vietnam;Vietnam;Malaysia
2018,Silver,16,30,45,37.5,0.8805732484,Bulgaria,Uzbekistan,Bulgaria;People's Republic of China;People's Republic of China;Cyprus;Hong Kong;Hong Kong;Indonesia;Indonesia;Kazakhstan;Kazakhstan;Macau;Macau;Philippines;Romania;Taiwan;Uzbekistan
2018,Bronze,37,46,82,64,0.7961783439,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Indonesia;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Macau;Macau;Macau;Philippines;Tajikistan;Tajikistan;Thailand;Thailand;Thailand;Thailand;Thailand;Uzbekistan;Vietnam;Vietnam;Vietnam;Vietnam
